Designator,Footprint,Quantity,Value,LCSC Part #
"+15V1, +48V1, LASER-A1, LASER-B1","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",4,Conn_01x02_Pin,
"J1, J2",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15,
"Q1, Q2, Q3",TO-220-3_Vertical,3,IRF540N,
"R1, R3, R4",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,3,100,
R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,5,
"R5, R6",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,R,
"R7, R8",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,50,
R9,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,10,
